Bloque Horario,Materia,Profesor
L/M 7:00-8:30, Imparte: ALGORITMOS Y PROGRAMACION  |  Codigo materia: BPTSP05,SARA MENDOZA
L/M 7:00-8:30, Imparte: ESTRUCTURAS DE DATOS  |  Codigo materia: BPTSP06,DANIEL CORTES
L/M 7:00-8:30, Imparte: IP EVAL. DE NEG Y PROYECTOS DE INVERSIÓN  |  Codigo materia: FPSSP02,FERNANDO CARMONA
L/M 7:00-8:30, Imparte: PENSAMIENTO COMPUTACIONAL  |  Codigo materia: FBTSP04,ADRIAN SANTIAGO
L/M 7:00-8:30, Imparte: PROYECTOS DE INGENIERIA  |  Codigo materia: FPTSP14,ROCIO RUBIO
M/J 7:00-8:30, Imparte: ALGORITMOS Y PROGRAMACION  |  Codigo materia: BPTSP05,SARA MENDOZA
M/J 7:00-8:30, Imparte: INGENIERIA DE SOFTWARE  |  Codigo materia: FPTPS07,ENRIQUE VAZQUEZ
M/J 7:00-8:30, Imparte: IS AGILIDAD EN LA CALIDAD DEL SOFTWARE  |  Codigo materia: FPSSP03,ENRIQUE PASCUAL
M/J 7:00-8:30, Imparte: PENSAMIENTO COMPUTACIONAL  |  Codigo materia: FBTSP04,PAULA CRESPO
M/J 7:00-8:30, Imparte: PROYECTOS DE INGENIERIA  |  Codigo materia: FPTSP14,ROCIO RUBIO
L/M 8:45-10:15, Imparte: ALGORITMOS Y PROGRAMACION  |  Codigo materia: BPTSP05,SARA MENDOZA
L/M 8:45-10:15, Imparte: INGENIERIA DE SOFTWARE  |  Codigo materia: FPTPS07,ENRIQUE VAZQUEZ
L/M 8:45-10:15, Imparte: IS EL HACKER ÉTICO  |  Codigo materia: FPSSP04,JOAQUIN LOZANO
L/M 8:45-10:15, Imparte: PENSAMIENTO COMPUTACIONAL  |  Codigo materia: FBTSP04,RUBEN FERRER
L/M 8:45-10:15, Imparte: SIMULACIÓN  |  Codigo materia: FPTSP20,VICENTE BRAVO
L/M 8:45-10:15, Imparte: SISTEMAS DE INFORMACION  |  Codigo materia: FPTSP04,PAULA CRESPO
M/J 8:45-10:15, Imparte: ALGORITMOS Y PROGRAMACION  |  Codigo materia: BPTSP05,SARA MENDOZA
M/J 8:45-10:15, Imparte: INGENIERIA ECONOMICA  |  Codigo materia: FPTSP15,ROSARIO GIL
M/J 8:45-10:15, Imparte: MODELAC. DE SISTEMAS EN REDES  |  Codigo materia: FPTSP21,RAMON CALVO
M/J 8:45-10:15, Imparte: PENSAMIENTO COMPUTACIONAL  |  Codigo materia: FBTSP04,RUBEN FERRER
M/J 8:45-10:15, Imparte: SIMULACIÓN  |  Codigo materia: FPTSP20,JULIA PARDO
L/M 10:30-12:00, Imparte: ALGORITMOS Y PROGRAMACION  |  Codigo materia: BPTSP05,JULIA JIMENEZ
L/M 10:30-12:00, Imparte: INGENIERIA ECONOMICA  |  Codigo materia: FPTSP15,RAMON CALVO
L/M 10:30-12:00, Imparte: MODELADO ARTÍSTICO 3D  |  Codigo materia: FGESP07,FRANCISCA GARRIDO
L/M 10:30-12:00, Imparte: PENSAMIENTO COMPUTACIONAL  |  Codigo materia: FBTSP04,RUBEN FERRER
L/M 10:30-12:00, Imparte: SIMULACIÓN  |  Codigo materia: FPTSP20,JULIA PARDO
M/J 10:30-12:00, Imparte: BASES DE DATOS I  |  Codigo materia: FPTSP01,ISABEL CASTRO
M/J 10:30-12:00, Imparte: INTERNSHIP  |  Codigo materia: FGESP05,MARTA MARTIN
M/J 10:30-12:00, Imparte: NEGOCIOS WEB  |  Codigo materia: FGESP01,ANDRES MONTERO
M/J 10:30-12:00, Imparte: PENSAMIENTO COMPUTACIONAL  |  Codigo materia: FBTSP04,RUBEN FERRER
M/J 10:30-12:00, Imparte: SISTEMAS DE APOYO  |  Codigo materia: FPTSP23,JULIA PARDO
L/M 12:15-1:45, Imparte: BASES DE DATOS I  |  Codigo materia: FPTSP01,ISABEL CASTRO
L/M 12:15-1:45, Imparte: INTRODUCCION A LA INGENIERIA  |  Codigo materia: FBTSP03,IVAN MUÑOZ
L/M 12:15-1:45, Imparte: OPTIMIZACION I  |  Codigo materia: FPTSP17,IVAN DURAN
L/M 12:15-1:45, Imparte: PENSAMIENTO COMPUTACIONAL  |  Codigo materia: FBTSP04,ENRIQUE VAZQUEZ
L/M 12:15-1:45, Imparte: SISTEMAS DISTRIBUIDOS  |  Codigo materia: FPTSP28,CARMEN RIVERA
M/J 12:15-1:45, Imparte: BASES DE DATOS II  |  Codigo materia: FPTSP26,MARIO GIMENEZ
M/J 12:15-1:45, Imparte: INTRODUCCION A LA INGENIERIA  |  Codigo materia: FBTSP03,MONTSERRAT CAMPOS
M/J 12:15-1:45, Imparte: OPTIMIZACION I  |  Codigo materia: FPTSP17,IVAN DURAN
